Documento;Perplejidad;Burstiness;TTR;MTTR;Hapax_Ratio;Yule_K;MLS;CV_MLS;Flesch_Kincaid;FK_Varianza;Coherencia_Sem;Coherencia_Var;Ratio_Func_Cont;Clasificacion;Probabilidad_Humano
00039e89-4b9a-4a81-bb08-334cf20b482c;142.79;0.280;0.656;0.820;52.2%;127.78;18.7;0.280;20.9;520.451;0.247;0.032;0.394;HUMANO;65.0%
00111c95-4102-441d-b21c-e1fb68a0fdb1;195.77;0.443;0.737;0.820;65.4%;109.67;16.8;0.443;19.4;502.357;0.259;0.020;0.391;HUMANO;80.0%
00161e17-f9bb-4b7e-aa95-a6e332e1affe;111.47;0.483;0.650;0.828;53.8%;102.61;19.1;0.483;5.9;627.764;0.348;0.021;0.361;HUMANO;95.0%
001f45d6-19f4-4b97-87f7-a85644d37947;65.15;0.459;0.615;0.753;52.1%;169.27;19.3;0.459;18.1;633.866;0.328;0.029;0.464;HUMANO;95.0%
00218b06-d0d8-4bc9-a2c1-32d20d754334;107.37;0.481;0.675;0.787;57.7%;129.66;15.5;0.481;25.8;622.396;0.238;0.045;0.418;HUMANO;95.0%
002bc8a8-ae0f-4973-b3df-909cb5a476fc;134.06;0.309;0.625;0.780;51.8%;145.89;16.4;0.309;19.0;288.621;0.180;0.030;0.460;HUMANO;75.0%
0034e45c-4904-4f40-acac-950accd493ec;66.19;0.821;0.694;0.807;58.6%;98.86;13.0;0.821;9.1;349.604;0.331;0.021;0.403;HUMANO;95.0%
0036ca5d-a758-4984-a373-fac31b00ad24;152.44;0.271;0.688;0.820;59.6%;128.36;18.5;0.271;18.8;303.105;0.312;0.026;0.413;HUMANO;50.0%
003c64ee-b779-4804-8413-6f9312d93f09;86.54;0.505;0.711;0.820;61.4%;133.55;21.0;0.505;11.8;217.966;0.302;0.012;0.367;HUMANO;95.0%
0041295a-31ac-4d44-818b-ad77ab64e3d9;90.10;0.300;0.677;0.807;57.1%;130.09;18.5;0.300;14.3;714.377;0.320;0.041;0.419;HUMANO;75.0%
0048cc97-c3e5-462f-b8c9-2acb398fad05;202.02;0.502;0.702;0.833;60.8%;105.00;16.8;0.502;21.5;463.340;0.295;0.029;0.403;HUMANO;70.0%
00545553-789c-4b16-965a-fa04533adbe3;86.66;0.429;0.656;0.800;55.3%;152.73;19.7;0.429;6.8;275.697;0.360;0.018;0.414;HUMANO;95.0%
0056164d-35e5-42ed-ae24-ab3fbf2b91fc;76.00;0.332;0.630;0.824;52.7%;133.91;21.7;0.332;13.1;1058.399;0.318;0.040;0.414;HUMANO;75.0%
005f478a-d71e-4f59-920e-94284c89e644;116.90;0.311;0.699;0.820;59.0%;101.61;20.9;0.311;13.2;228.667;0.335;0.019;0.422;HUMANO;75.0%
0065fd71-eb64-4486-82cc-b4c4b6a13a74;121.93;0.311;0.663;0.793;54.7%;133.70;18.7;0.311;12.8;313.455;0.388;0.013;0.403;HUMANO;75.0%
0066ed9f-17d8-4bbb-894e-010119d9edc5;91.13;0.427;0.622;0.792;52.2%;153.33;18.1;0.427;27.0;192.473;0.273;0.010;0.446;HUMANO;95.0%
00697f6c-c83d-4ef0-b8bd-c3606ab93df6;127.87;0.277;0.636;0.813;51.5%;142.33;25.5;0.277;13.2;113.942;0.346;0.022;0.439;HUMANO;65.0%
007bac28-399d-4ea1-9fd9-9e02ed6122ff;121.64;0.368;0.610;0.808;50.3%;140.50;22.9;0.368;10.9;258.039;0.365;0.032;0.414;HUMANO;85.0%
007cc328-610a-4a96-8baf-005ffd8be68f;65.64;0.351;0.676;0.820;58.0%;141.43;19.0;0.351;14.7;459.361;0.343;0.024;0.425;HUMANO;85.0%
007ce0b2-c0fb-41be-855d-be03d7ec6280;74.71;0.192;0.675;0.845;56.7%;93.18;22.9;0.192;22.8;209.344;0.324;0.020;0.419;HUMANO;60.0%
007e1ff6-407e-4536-bcc9-6be365de2903;169.17;0.369;0.643;0.830;51.7%;115.31;19.2;0.369;5.9;488.510;0.290;0.034;0.409;HUMANO;70.0%
007f0faa-c97f-40ba-9da6-dacbf0871fd6;88.49;0.439;0.694;0.820;58.0%;108.73;19.9;0.439;8.9;783.013;0.406;0.024;0.408;HUMANO;95.0%
008035bb-e4ad-403e-b695-adb073a1d26b;161.36;0.454;0.606;0.765;45.8%;126.19;15.1;0.454;36.6;482.508;0.228;0.031;0.419;HUMANO;80.0%
0081a6c0-e244-4b51-af1a-216d03cfadd3;149.57;0.376;0.608;0.805;49.8%;180.88;21.9;0.376;19.9;345.760;0.287;0.011;0.439;HUMANO;85.0%
00876078-5df8-469b-b521-648cac0f9fe7;84.17;0.289;0.648;0.825;53.5%;113.29;18.2;0.289;28.4;532.347;0.299;0.027;0.437;HUMANO;65.0%
