Documento;Total_Evaluaciones;Consenso;Conteo_Si;Conteo_No;Conteo_Duda;David_Resultado;David_Texto_Conflictivo;David_Observaciones;Elena_Resultado;Elena_Texto_Conflictivo;Elena_Observaciones;Julian_Resultado;Julian_Texto_Conflictivo;Julian_Observaciones;Octavi_Resultado;Octavi_Texto_Conflictivo;Octavi_Observaciones;Santiago_Resultado;Santiago_Texto_Conflictivo;Santiago_Observaciones;lia_Resultado;lia_Texto_Conflictivo;lia_Observaciones;Todos_Textos_Conflictivos
009d2053-4bba-49ef-ae60-5ef67cd43e30;2;Si;2;0;0;;;;;;;;;;Si;;;;;;Si;;;
0171892e-dd8c-46a1-b5d2-b2132cdb021c;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
017782d0-80f9-4fb7-8617-b7376d321121;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
017b3dfd-d41c-4b79-88f7-5f2cf2d98edb;2;Si;2;0;0;;;;Si;;;;;;Si;;;;;;;;;
01d77134-9948-40da-9b6c-4f5b30782f18;2;Si;2;0;0;;;;Si;;;Si;;;;;;;;;;;;
0210e5ca-b89f-42c9-acc5-f81c2fd3bcea;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
031cc8da-8842-4cbf-a54f-f8d348822f5c;2;Si;2;0;0;Si;;;;;;;;;Si;;;;;;;;;
03cb7dce-0514-48a2-a724-1d7cb45dbc25;2;Si;2;0;0;Si;;;;;;;;;Si;;;;;;;;;
0447ec51-d631-40ef-88ab-d2c37ad632dc;2;Si;2;0;0;;;;;;;Si;;;;;;Si;;;;;;
0456541e-a459-404e-aebb-ab5426b4e265;2;Si;2;0;0;;;;Si;;;;;;;;;Si;;;;;;
050c882f-19e0-49f6-8868-a481cea3021b;2;Si;2;0;0;;;;Si;;;Si;;;;;;;;;;;;
0576fe0a-d7f3-420c-9d0b-3dc957fc78aa;2;Si;2;0;0;Si;;;;;;;;;;;;Si;;;;;;
07db4a26-7078-4a97-a409-b0cd447e4906;2;Si;2;0;0;;;;Si;;;Si;;;;;;;;;;;;
07f35fa5-f7a6-4ca9-83dc-979bf512fb0b;2;No;0;2;0;;;;;;;No;"""General de Catalu�a""";;;;;No;General de Catalu�a;;;;;"""General de Catalu�a"" | General de Catalu�a"
080c5913-6f48-4645-8356-8b3b5e880036;2;Si;2;0;0;Si;;;;;;Si;;;;;;;;;;;;
08f9af56-f7d8-48f2-9ca8-9b20904e7bbf;2;Si;2;0;0;;;;;;;Si;;;;;;;;;Si;;;
09e3296b-20b3-4133-a8e6-4e7262e504f5;2;Si;2;0;0;Si;;;;;;;;;Si;;;;;;;;;
