Documento;Correctamente_Anonimizado;Texto_Conflictivo;Observaciones
017782d0-80f9-4fb7-8617-b7376d321121.txt;Si;;
017b3dfd-d41c-4b79-88f7-5f2cf2d98edb.txt;Si;;
01d77134-9948-40da-9b6c-4f5b30782f18.txt;Si;;
0456541e-a459-404e-aebb-ab5426b4e265.txt;Si;;
050c882f-19e0-49f6-8868-a481cea3021b.txt;Si;;
07db4a26-7078-4a97-a409-b0cd447e4906.txt;Si;;
0f620a81-b2ad-45cc-820a-ec72bbca63ca.txt;Si;;
0f9f30bb-99b2-4e37-9654-f9b4fcc7ae71.txt;Si;;
0fdbd751-3bcb-4970-a84e-e80709bfee38.txt;No;2024-789123;
10980787-195b-47b6-bcbc-f9f032647bca.txt;Si;;
10fe6eb8-ac25-4e34-b005-553e6e4a89ba.txt;Si;;
18eceeaa-f6c4-4103-9cd8-1b0040264ca9.txt;Si;;
1ce8c145-b6d1-4dfd-aa1b-f1f348664be2.txt;Si;;
1e50d343-5d08-45a8-84a3-5ec662b2bfe4.txt;Si;;
1fbe0213-a6b6-45b3-bcf4-d69c2a2fccbd.txt;Si;;
217dd127-8b5e-477e-8aea-9496ac6256cd.txt;Si;;
2223e299-5407-40ef-98ad-b1b664e5f833.txt;Si;;
242217e6-4b31-445a-bf98-2e51709042fe.txt;Si;;
26aa8f66-6656-4665-a78d-1df1efe8d6d8.txt;Si;;
2d8db250-92b9-4afe-91aa-c44457ec11a1.txt;Si;;
2eeca872-c3c2-4f44-a1dd-af586ff40195.txt;Si;;
2f8f1946-e247-485e-b2c8-f832cb2303a1.txt;Si;;
314b623b-4a96-4175-911e-c470a4739067.txt;Si;;
359579eb-28e3-433c-85b9-a1bf1898aa96.txt;Si;;
38093d3a-e675-46f3-b50f-22d59b90dcbf.txt;Si;;
39bd34ad-d604-4e5b-8503-27379dad827d.txt;Si;;
3a257100-0c06-4c41-870a-22a541f323f1.txt;Si;;
3a302fed-e731-4332-8d29-ca57fb595119.txt;Si;;
3aa6434c-b1dc-4d94-9652-61c24e04d185.txt;Si;;
3ddfc6fd-4ac3-42d4-a398-8002fc5e0e85.txt;Si;;
3df253f2-ae4b-40a7-b428-b18fdc7046b8.txt;Si;;
403ac208-83ef-4674-a4f7-2a134f411ed1.txt;No;espa�ola;
41c16861-b77a-4acc-b2e2-0185b1395b3d.txt;Si;;
42639a1c-2c08-4a51-9207-3fbee51caac6.txt;Si;;
42788c4e-6434-4d34-a9bd-9217f5d96ce1.txt;Si;;
42e57bb5-1716-4a6e-9398-4d58b1af6231.txt;Si;;
43c4731e-04f0-4593-8212-27384caac75e.txt;Si;;
453d0db1-f742-4a61-9c20-b24a0157db09.txt;Si;;
454504e0-53f8-429e-9d66-111e4da99dda.txt;No;B-45872315;
46edbc1f-ecf6-4092-b2dd-5a8459c0258a.txt;Si;;
48ded335-0137-4892-a5f6-3d5fc488cf1b.txt;Si;;
49ff3c79-48ec-4152-aafc-fd7227c5cbde.txt;Si;;
4a87f0c2-3cdc-4ebe-9b27-a06f739dc5bb.txt;Si;;
4abda2d4-827f-4926-b3f5-ad511a7bbc67.txt;Si;;
4d426c42-7597-492d-bfc5-9852f06823ce.txt;Si;;
52b9ad78-7ebc-496e-90bb-9e2944590057.txt;Si;;
5760bccf-440d-498c-9321-7ef4e06e2dcd.txt;Si;;
5ac892bb-d4b6-4582-8c0e-0200b0ab41cb.txt;Si;;
5ce88e09-61c9-4a0a-a3d4-7dde74237b9f.txt;Si;;
5e151647-e316-4230-bd17-a238a12f3c08.txt;Si;;
