Documento;Correctamente_Anonimizado;Texto_Conflictivo;Observaciones
01d77134-9948-40da-9b6c-4f5b30782f18.txt;Si;;
0447ec51-d631-40ef-88ab-d2c37ad632dc.txt;Si;;
050c882f-19e0-49f6-8868-a481cea3021b.txt;Si;;
07db4a26-7078-4a97-a409-b0cd447e4906.txt;Si;;
07f35fa5-f7a6-4ca9-83dc-979bf512fb0b.txt;No;"""General de Catalu�a""";
080c5913-6f48-4645-8356-8b3b5e880036.txt;Si;;
08f9af56-f7d8-48f2-9ca8-9b20904e7bbf.txt;Si;;
0aedd0a6-2a08-42c1-8e51-35c3a3ed398e.txt;Si;;
0b74a278-c6d8-4a69-8b81-1e9f6ef838cd.txt;Si;;
0becf542-4c2c-45e2-bfbe-0044201fc80d.txt;Si;;
0f9f30bb-99b2-4e37-9654-f9b4fcc7ae71.txt;Si;;
10539201-41d7-425a-bd40-e1cc422aa307.txt;Si;;
118ecf18-2b73-4328-b384-0b22e8d195e1.txt;No;"""Cl�nico San Carlos""";
13661eba-d9c3-47fd-8cb2-d2e8516e0556.txt;Si;;
179e3c3a-afe0-466a-a7a6-6fe9ec05ab71.txt;Si;;
1c9e55be-28c9-4561-a272-625c15ea02a7.txt;Si;;
1db3196b-17c3-4e46-b5c4-9be22f22a96a.txt;Si;;
1ed4680d-411f-49bd-8c28-e154a8cff691.txt;Si;;
1fbe0213-a6b6-45b3-bcf4-d69c2a2fccbd.txt;Si;;
23c8f292-0ee5-4645-bf1c-68fd8ce6d70c.txt;Si;;
274ab7c1-993b-4b56-bd9b-de2c2a55ea0c.txt;Si;;
2898000b-ffdc-4a0d-9b7b-ec5a875c8647.txt;Si;;
28d0d4f0-86f1-4016-b07c-207ebb8693e4.txt;Si;;
2b8066fc-9ddb-46f1-96a7-bb2fbd7f1d12.txt;Si;;
2eeca872-c3c2-4f44-a1dd-af586ff40195.txt;Si;;
309270fa-d864-42c8-89c7-acc782bb0610.txt;Si;;
314db32b-f57d-4da5-96a6-fe04a7228a3d.txt;Si;;
346fb63a-6c93-4c27-8ac5-cb629de10e4f.txt;Si;;
34d9cbaf-bb49-4ad5-a958-6651c2a28d01.txt;Si;;
355a7757-fb56-40c3-89c4-597b0e262be6.txt;Si;;
365125e0-6c6d-4bc0-a47a-dbb2029b6f3f.txt;Si;;
380a5093-582a-42e9-b575-fd1ff6a051de.txt;Si;;
389aaca1-de1e-44e5-91fe-e84dbe587d12.txt;Si;;
394975f6-da1b-411f-b90d-9c8b841f8fe0.txt;Si;;
3997a16d-7dca-4d62-8375-cc9a6023c1c6.txt;Si;;
3c74a340-bd91-4af3-9873-332dd14d28e8.txt;Si;;
3dea019a-f9b4-4538-8d7c-ae46d4114712.txt;Si;;
3fa7d14f-e04f-48ed-8517-2672fb4342e9.txt;Si;;
438c64f3-dc5a-4be8-8341-0776b51f22d0.txt;Si;;
44085992-0003-46ef-8ec7-0724b6b85bae.txt;Si;;
46ec87a5-4313-43d7-92e2-781f2ebc84a6.txt;Si;;
47ec20d7-aff2-490d-bb48-8ebf6edd599a.txt;Si;;
4abda2d4-827f-4926-b3f5-ad511a7bbc67.txt;Si;;
53510662-89a3-4902-b616-5cd047940147.txt;Si;;
55ac3438-04c6-4de2-b4f7-d7b6f7f76ed8.txt;Si;;
59fdc372-8eb6-4871-9290-cd4aec63c693.txt;No;"""Cl�nico San Carlos""";
5a251fc3-8aff-4a01-87cb-2dabfc430715.txt;Si;;
5ad7f61e-28d7-4aaf-ad08-343e535ef4f3.txt;Si;;
5ae0472a-bd33-4958-9811-6c87f32a7ff5.txt;Si;;
5b363ae6-fa10-4175-bd21-4b4cc9abbefb.txt;Si;;
5b93e25b-24ce-468d-b203-0972d9bd11b8.txt;Si;;
5f5808ed-322a-4792-bdc2-86fdab3cdfbb.txt;Si;;
5fd3353b-4f4e-4bb5-897c-66c4d3c0d6d4.txt;Si;;
6003a16c-0223-4057-8b42-686db8b56ad7.txt;Si;;
6072162c-bfec-4673-bdf7-803b2af83a11.txt;Si;;
60e179f2-885a-429b-ba68-7badcd786401.txt;Si;;
61d71068-0408-409b-8774-324078ec4ccc.txt;Si;;
62e9d405-6957-4b79-b9fe-51a0dc588f34.txt;Si;;
64d9f10c-f365-4c56-adaa-32afc6f4ff77.txt;Si;;
66addf61-eb1c-4d28-a847-a9f7dec3186d.txt;Si;;
66ec16a6-fe83-42dd-9533-105bc639c3cc.txt;Si;;
67b28a72-23e2-45c8-a86f-8c2c440436eb.txt;Si;;
68415de9-399e-4da8-b550-4d6f2897210b.txt;Si;;
6b433330-341a-45c1-a028-b26d1d2da03b.txt;Si;;
7c3b8041-9faa-40d3-854a-52dbf4a1f334.txt;No;"""ID-28763415""";
7d0a06b3-3e2e-432b-9b2c-a42c35d91949.txt;Si;;
7da1078a-3106-4cfa-87c8-6111a727e569.txt;Si;;
8019a37b-ac19-4374-a893-2932bac6b54c.txt;Si;;
837c8136-6a0e-4553-8511-a7b16278a880.txt;Si;;
863016ab-a8bb-433b-b2e1-bcd038609c67.txt;Si;;
89275b80-02fd-4474-92b4-2e7b942b3b81.txt;Si;;
91ecba29-13c7-4be4-8f2a-9fe4eaa92fcb.txt;Si;;
941b6f07-3625-4967-a43e-d66a84d2720e.txt;No;"""General de Valencia""";
9493e5f2-f28a-41ef-adf5-8960a6846450.txt;Si;;
9b1fa584-bece-47a5-98a0-ae4ce35010a6.txt;No;"""General de Madrid""";
9b3b3be5-a041-41ba-bcd8-e1189e0c3aed.txt;Si;;
9b6a00d3-26e4-496e-b54a-6192b2a738a0.txt;Si;;
9d9db4e6-e6a2-420e-9019-e185120720f5.txt;Si;;
a725fcb9-3120-436d-8464-a61fcdc4e2c8.txt;Si;;
a7ee6f25-dc10-496e-9096-7c42dc766777.txt;Si;;
a961f8c1-9315-4015-aa3b-bbced155e1ff.txt;Si;;
aacc2de5-a934-4503-89ab-c2cb3ae93eba.txt;Si;;
abd58791-b671-485a-be9a-e7150096579d.txt;Si;;
aca53375-016c-4685-88aa-0fb2c87e6682.txt;Si;;
ada1f708-f809-408f-b1ab-2ea1f7badcdd.txt;Si;;
ae0f2cf8-9619-4e78-b411-2d8a0a8cd2b7.txt;No;"""profesional sanitaria""/""su actividad asistencial""";
af1027b4-79e8-43ff-82a8-8a89ad3ca086.txt;Si;;
b7575829-0530-4015-87d5-4eb3de576af9.txt;Si;;
b75ad66b-0989-40b9-9ef7-50a64432fa09.txt;No;"""su nacionalidad es espa�ola""";
b7b830d9-2a7b-48d7-bb10-80501cae9e28.txt;Si;;
bb659948-88a0-4718-92a3-d7dd9fd55800.txt;No;"""General de Madrid""/""Alameda 12""";
bc24f59b-1f65-4cdf-8a2c-c27eae10b4dc.txt;Si;;
be955249-010a-40df-91d4-ed73ab336faf.txt;Si;;
bf3c3f29-364c-43c6-8500-4f191d5afcff.txt;Si;;
c096ded0-6e59-4b6d-aff5-a31366279792.txt;Si;;
c4d879ec-93ab-4b44-947f-06aaf9a9ab3a.txt;Si;;
c514e0de-d442-499c-a47b-933eef2f3c53.txt;Si;;
c590e6d0-d1c0-48d1-b7dd-c8761d30dd22.txt;Si;;
c6508cba-0ed5-4d29-b173-4a3f827cd45c.txt;No;"""nacionalidad espa�ola""";
c8342b40-878a-4e51-b203-721c3d297365.txt;Si;;
ca7ff411-1856-4b2c-a660-e526f5c0d87f.txt;Si;;
ca847e67-a5db-4626-a9fc-a65198165e0d.txt;Si;;
cea038b7-4542-4b9b-95ec-31dc696a0948.txt;Si;;
d05691f9-5ae7-4450-aa61-da73c7b4f62d.txt;Si;;
d4eda9a8-8388-4eb8-be28-025847739517.txt;Si;;
db0c5dd6-b6d3-4ae5-99b8-b28eb560cb5f.txt;Si;;
dbb9ba83-b1b1-4d42-b87e-505f650d2a6d.txt;Si;;
df168e2f-e645-4bae-80ef-58b2033e9f1b.txt;Si;;
e7592252-32f2-4c89-86db-3eaf7be43a8e.txt;Si;;
e9bb80a6-89e6-4940-8730-c09af2427074.txt;Si;;
eafc1fa8-004b-4af5-a63b-453ec1b4c3cf.txt;Si;;
ed90a4a5-a0ea-4703-a1b7-ee21fd48a531.txt;Si;;
f13702f5-cbb7-4ef3-b2a2-8cc13d18b444.txt;Si;;
f1e58d82-b7bd-4efc-b6c3-bc58b9c89e3e.txt;Si;;
f23903d2-ac59-4019-a27b-57b8b1216edc.txt;Si;;
f2762d6f-3e48-4dbb-a120-0fa5d95d76d7.txt;Si;;
f59296b5-716b-4728-9c82-0a1a45ffcc51.txt;Si;;
