Documento,Correctamente_Anonimizado,Texto_Conflictivo,Observaciones
009d2053-4bba-49ef-ae60-5ef67cd43e30.txt,Si,,
017b3dfd-d41c-4b79-88f7-5f2cf2d98edb.txt,Si,,
031cc8da-8842-4cbf-a54f-f8d348822f5c.txt,Si,,
03cb7dce-0514-48a2-a724-1d7cb45dbc25.txt,Si,,
09e3296b-20b3-4133-a8e6-4e7262e504f5.txt,Si,,
0eea0367-8d01-4848-8c5b-4d472017c569.txt,Si,,
0fdbd751-3bcb-4970-a84e-e80709bfee38.txt,No,El contacto asistencial principal queda registrado bajo la referencia -2024-789123,
10539201-41d7-425a-bd40-e1cc422aa307.txt,Si,,
10a74980-7c0e-4f3d-a87a-0c2970a8ea88.txt,Si,,
118ecf18-2b73-4328-b384-0b22e8d195e1.txt,Si,,
125a02a1-4ac1-42da-baa8-52ffee29f02f.txt,Si,,
18ff0919-6582-4a6c-a128-0c6ce9b86a03.txt,Si,,
1940ca83-ed0e-4ab0-b092-ff8715b379ae.txt,Si,,
1abcab9f-02d9-4a49-b731-4fa67a05eac7.txt,Si,,
1c9e55be-28c9-4561-a272-625c15ea02a7.txt,Si,,
1db3196b-17c3-4e46-b5c4-9be22f22a96a.txt,Si,,
1e50d343-5d08-45a8-84a3-5ec662b2bfe4.txt,Si,,
2286b5bd-36e1-4fbf-8070-34a887c1dd7c.txt,Si,,
23c8f292-0ee5-4645-bf1c-68fd8ce6d70c.txt,Si,,
242217e6-4b31-445a-bf98-2e51709042fe.txt,Si,,
26aa8f66-6656-4665-a78d-1df1efe8d6d8.txt,Si,,
274ab7c1-993b-4b56-bd9b-de2c2a55ea0c.txt,Si,,
2898000b-ffdc-4a0d-9b7b-ec5a875c8647.txt,Si,,
2aa49a2d-027f-415d-9036-72f1de3f4c76.txt,Si,,
2aad4ddc-02e8-4bd1-b049-5710743ae21e.txt,Si,,
2b8066fc-9ddb-46f1-96a7-bb2fbd7f1d12.txt,Si,,
314b623b-4a96-4175-911e-c470a4739067.txt,Si,,
31a192b2-87be-4695-ab9a-ba8745429373.txt,Si,,
32ed92b1-415f-446b-989a-46542f5623d9.txt,Si,,
3403f5e2-7a0a-46f2-b325-f71bba502d61.txt,Si,,
34d9cbaf-bb49-4ad5-a958-6651c2a28d01.txt,Si,,
355a7757-fb56-40c3-89c4-597b0e262be6.txt,Si,,
394975f6-da1b-411f-b90d-9c8b841f8fe0.txt,Si,,
398a7741-d7c4-417e-b5ea-f54242135885.txt,Si,,
39ae9f0c-b74c-44d0-b7a6-02cd7cfeaed2.txt,Si,,
3a4c533c-cbdc-4fb9-9fa7-fbe36ad40769.txt,Si,,
3b24b4ae-ed6d-4325-b127-b805a6562705.txt,Si,,
3f5c0a08-588a-40bc-8069-859bb2e07a79.txt,Si,,
4240b756-c810-437c-b1f5-eae80c44c20e.txt,Si,,
426118f8-2a49-4c01-befd-3675ec516140.txt,Si,,
42788c4e-6434-4d34-a9bd-9217f5d96ce1.txt,Si,,
428c59df-f76e-48d0-8cb6-f950cf6c5ad9.txt,Si,,
42e57bb5-1716-4a6e-9398-4d58b1af6231.txt,Si,,
43c4731e-04f0-4593-8212-27384caac75e.txt,Si,,
44085992-0003-46ef-8ec7-0724b6b85bae.txt,Si,,
44427aa2-e9d9-4fa1-b5eb-1893c9cb5b6b.txt,Si,,
46b2ed53-f84d-4d06-beea-04d6be07ae1c.txt,Si,,
48ded335-0137-4892-a5f6-3d5fc488cf1b.txt,Si,,
494b8e58-0c2c-43cd-88ac-5596f4083767.txt,Si,,
4d426c42-7597-492d-bfc5-9852f06823ce.txt,Si,,
52b9ad78-7ebc-496e-90bb-9e2944590057.txt,Si,,
5353ff2a-cbbc-46d0-a7e1-642e9f58dcfe.txt,Si,,
5a251fc3-8aff-4a01-87cb-2dabfc430715.txt,Si,,
