Documento;Correctamente_Anonimizado;Texto_Conflictivo;Observaciones
0171892e-dd8c-46a1-b5d2-b2132cdb021c.txt;Si;;
017782d0-80f9-4fb7-8617-b7376d321121.txt;Si;;
0210e5ca-b89f-42c9-acc5-f81c2fd3bcea.txt;Si;;
0447ec51-d631-40ef-88ab-d2c37ad632dc.txt;Si;;
0456541e-a459-404e-aebb-ab5426b4e265.txt;Si;;
0576fe0a-d7f3-420c-9d0b-3dc957fc78aa.txt;Si;;
07f35fa5-f7a6-4ca9-83dc-979bf512fb0b.txt;No;General de Catalu�a;
0b74a278-c6d8-4a69-8b81-1e9f6ef838cd.txt;Si;;
0becf542-4c2c-45e2-bfbe-0044201fc80d.txt;Si;;
0eea0367-8d01-4848-8c5b-4d472017c569.txt;Si;;
0f0d45e2-ee11-4151-90d4-60bcbc1ae688.txt;Si;;
0f620a81-b2ad-45cc-820a-ec72bbca63ca.txt;Si;;
0ffe34cf-9d76-4132-a772-d7f747dfe53a.txt;Si;;
10fe6eb8-ac25-4e34-b005-553e6e4a89ba.txt;Si;;
125a02a1-4ac1-42da-baa8-52ffee29f02f.txt;Si;;
1ab1bb66-0acb-46d7-bd52-d639f6935424.txt;Si;;
1ae380b6-93c9-4929-a381-8ff2f3a43926.txt;Si;;
1c5c0da6-9c87-449b-a967-3008a9455c6b.txt;Si;;
1ce8c145-b6d1-4dfd-aa1b-f1f348664be2.txt;Si;;
1df373dd-096b-4d7d-ad63-976eb3b0e34b.txt;Si;;
1e4d79c4-692a-4541-8758-bb1ac3c5f968.txt;Si;;
1ed4680d-411f-49bd-8c28-e154a8cff691.txt;Si;;
1f053bb0-f9d0-4fd3-90c6-2f01deac29ca.txt;Si;;
217dd127-8b5e-477e-8aea-9496ac6256cd.txt;Si;;
2223e299-5407-40ef-98ad-b1b664e5f833.txt;Si;;
258d73fb-ed39-48a9-8171-5d67ea8b6ff8.txt;Si;;
2aa49a2d-027f-415d-9036-72f1de3f4c76.txt;Si;;
2aad4ddc-02e8-4bd1-b049-5710743ae21e.txt;Si;;
2b15749c-97cc-46ad-bc69-abb04d368a31.txt;Si;;
2d719976-d6dc-43aa-abc4-2b2fa644c045.txt;Si;;
2dcdaeb6-a174-45a2-a314-af3cbe5d8197.txt;Si;;
2eeea7c7-ce26-473f-a5b6-d40739bc905d.txt;Si;;
3263aed6-f17a-4f55-a775-1cb6cea0dce7.txt;No;La paciente es de nacionalidad espa�ola;
365125e0-6c6d-4bc0-a47a-dbb2029b6f3f.txt;Si;;
38093d3a-e675-46f3-b50f-22d59b90dcbf.txt;Si;;
39bd34ad-d604-4e5b-8503-27379dad827d.txt;Si;;
3a257100-0c06-4c41-870a-22a541f323f1.txt;Si;;
3aa6434c-b1dc-4d94-9652-61c24e04d185.txt;Si;;
3dea019a-f9b4-4538-8d7c-ae46d4114712.txt;Si;;
3fa7d14f-e04f-48ed-8517-2672fb4342e9.txt;Si;;
407b4a29-c43b-4ea2-9033-d8fc5efb0eaf.txt;Si;;
428c59df-f76e-48d0-8cb6-f950cf6c5ad9.txt;Si;;
46b2ed53-f84d-4d06-beea-04d6be07ae1c.txt;Si;;
4805532a-5475-4e07-b1ee-17c1abeefb4c.txt;Si;;
494b8e58-0c2c-43cd-88ac-5596f4083767.txt;Si;;
4e63866e-ceba-4a2b-ba38-d05e11691f82.txt;Si;;
53510662-89a3-4902-b616-5cd047940147.txt;Si;;
5353ff2a-cbbc-46d0-a7e1-642e9f58dcfe.txt;Si;;
5416fd46-69b9-4fc3-88dd-0bb38affd99d.txt;Si;;
57993781-0565-4259-9aeb-7b4775a92068.txt;Si;;
5ae0472a-bd33-4958-9811-6c87f32a7ff5.txt;Si;;
5e1883ba-253a-4e1d-91d3-64a79eb79379.txt;Si;;
5f7773af-a7b0-4db6-876e-d5c12c8fad7f.txt;Si;;
62e9d405-6957-4b79-b9fe-51a0dc588f34.txt;Si;;
6374d861-84ac-4e4b-9014-4864a789c519.txt;Si;;
64222eba-4a86-428d-8706-3cad378c93d7.txt;Si;;
6a0dc87c-1ded-4b75-b398-41f7cd3fc07f.txt;Si;;
6bc8623b-5237-4163-9024-44c519f45511.txt;Si;;
6d0a4caf-f40a-4b4d-8f5c-bf53bd520bf0.txt;Si;;
737749a5-f0fa-49c9-b2c4-aa283cca9345.txt;Si;;
762e197e-5465-42e5-aa56-b3b5e679a44c.txt;Si;;
7d337619-249e-4512-8434-cdd403c52899.txt;Si;;
7f16ac07-9d1f-4b42-8a25-c56feb6cf514.txt;Si;;
829c89a4-97b8-49a1-858c-66edb4ab6701.txt;Si;;
84de3504-2751-4286-a49e-e320d8065a68.txt;Si;;
87704a38-d8bb-4980-9bd8-b35aaa2e6bd4.txt;Si;;
888e008b-9f65-4ab4-80a0-0c0a0b07c486.txt;Si;;
88edbbdc-e405-4443-93e1-4c5b82d2f473.txt;Si;;
8916ec36-0afd-41fb-861b-7cbcaff4caa4.txt;Si;;
8941f86a-da55-4be3-9e67-445eae553b91.txt;Si;;
