;Documento;Correctamente_Anonimizado;Texto_Conflictivo;Observaciones
1;0a3f8b54-7c9a-4e80-9a84-c0af46aa8a85;si;;
2;0e4ff56d-885d-433c-8ebd-e6e1f7ceeebb;si;;
3;0ffe34cf-9d76-4132-a772-d7f747dfe53a;si;;
4;1abcab9f-02d9-4a49-b731-4fa67a05eac7;si;;
5;1df373dd-096b-4d7d-ad63-976eb3b0e34b;si;;
6;1f053bb0-f9d0-4fd3-90c6-2f01deac29ca;si;;
7;2b15749c-97cc-46ad-bc69-abb04d368a31;si;;
8;2dcdaeb6-a174-45a2-a314-af3cbe5d8197;si;;
9;2ee50521-fec7-4d58-af5f-91a2a381e7b3;no;Clínico San Carlos;
10;2eeea7c7-ce26-473f-a5b6-d40739bc905d;si;;
11;2f8f1946-e247-485e-b2c8-f832cb2303a1;si;;
12;3ddfc6fd-4ac3-42d4-a398-8002fc5e0e85;si;;
13;3f5c0a08-588a-40bc-8069-859bb2e07a79;si;;
14;4a87f0c2-3cdc-4ebe-9b27-a06f739dc5bb;si;;
15;4e63866e-ceba-4a2b-ba38-d05e11691f82;si;;
16;4ff779b9-1ede-488d-acf4-c127db720954;si;;
17;5ac892bb-d4b6-4582-8c0e-0200b0ab41cb;si;;
18;5b363ae6-fa10-4175-bd21-4b4cc9abbefb;si;;
19;5ce88e09-61c9-4a0a-a3d4-7dde74237b9f;si;;
20;5e151647-e316-4230-bd17-a238a12f3c08;si;;
21;5fd3353b-4f4e-4bb5-897c-66c4d3c0d6d4;si;;
22;7b0a9f60-f9bf-45c6-bcab-8e82aacde633;si;;
23;7da1078a-3106-4cfa-87c8-6111a727e569;si;;
24;7dc614ce-070f-45f8-9695-20db2f295caf;si;;
25;08f9af56-f7d8-48f2-9ca8-9b20904e7bbf;si;;
26;8be08ad8-6136-4735-9716-6242f5996604;si;;
27;8cd7b5eb-9e03-40da-947d-c778d56f5a5b;si;;
28;8fd2e30c-0222-42c1-a415-595a2f6b6207;si;;
29;009d2053-4bba-49ef-ae60-5ef67cd43e30;si;;
30;9c75d792-1eca-4b0a-8dfd-8918698dae9b;si;;
31;9d9db4e6-e6a2-420e-9019-e185120720f5;si;;
32;10a74980-7c0e-4f3d-a87a-0c2970a8ea88;si;;
33;17febf6a-c6f8-44ae-ace9-d819b3be7ba2;si;;
34;31a192b2-87be-4695-ab9a-ba8745429373;si;;
35;32ed92b1-415f-446b-989a-46542f5623d9;si;;
36;35f12c32-95d8-45cc-b381-f62d3bcf61ae;si;;
37;39ae9f0c-b74c-44d0-b7a6-02cd7cfeaed2;si;;
38;41c16861-b77a-4acc-b2e2-0185b1395b3d;si;;
39;46edbc1f-ecf6-4092-b2dd-5a8459c0258a;si;;
40;47ec20d7-aff2-490d-bb48-8ebf6edd599a;si;;
41;59fdc372-8eb6-4871-9290-cd4aec63c693;no;Clínico San Carlos;
42;64aa2934-8759-4da3-86d4-d543072adbb2;Si;;
43;64d9f10c-f365-4c56-adaa-32afc6f4ff77;Si;;
44;67b28a72-23e2-45c8-a86f-8c2c440436eb;Si;;
45;71ba45b0-0175-4b50-88e7-8e946350fa44;Si;;
46;73cf66d8-1d6f-49b4-8860-12e5c42edd01;si;;
47;82dad273-dee9-4de6-b796-9bf00646f68f;si;;
48;82e749d3-915e-4cbe-963c-64a9fdd8df77;si;;
49;86cde050-94b0-4e8b-b4b6-ebc91d0f67d6;si;;
50;91ea9664-12c8-4b68-ad2b-39c3120f1c05;si;;
51;97bbd3b8-1f0e-4112-9559-376c43b16192;si;;
52;99a6ad4d-9f82-4e8a-b92a-531a26c26a4f;si;;
53;258d73fb-ed39-48a9-8171-5d67ea8b6ff8;si;;
54;314db32b-f57d-4da5-96a6-fe04a7228a3d;si;;
55;380a5093-582a-42e9-b575-fd1ff6a051de;si;;
56;389aaca1-de1e-44e5-91fe-e84dbe587d12;si;;
57;398a7741-d7c4-417e-b5ea-f54242135885;si;;
58;438c64f3-dc5a-4be8-8341-0776b51f22d0;si;;
59;471de598-c0a6-430f-9bc4-9214ad1ac091;si;;
60;628a8ec5-ac25-4205-a576-65d7bd373bb7;si;;
61;745adc0c-a4a6-40f2-a14c-2ea94d8dbd8a;si;;
62;820dfe2e-d971-41b4-a40c-a59cd824ba95;si;;
63;888e008b-9f65-4ab4-80a0-0c0a0b07c486;si;;
64;3263aed6-f17a-4f55-a775-1cb6cea0dce7;si;;
65;3403f5e2-7a0a-46f2-b325-f71bba502d61;si;;
66;3997a16d-7dca-4d62-8375-cc9a6023c1c6;si;;
67;4240b756-c810-437c-b1f5-eae80c44c20e;si;;
68;13661eba-d9c3-47fd-8cb2-d2e8516e0556;si;;
69;42639a1c-2c08-4a51-9207-3fbee51caac6;si;;
70;44427aa2-e9d9-4fa1-b5eb-1893c9cb5b6b;si;;
71;80087c96-0c34-49ff-a163-ef7b8741f806;si;;
72;309270fa-d864-42c8-89c7-acc782bb0610;si;;
73;359579eb-28e3-433c-85b9-a1bf1898aa96;si;;
74;454504e0-53f8-429e-9d66-111e4da99dda;si;;
75;4805532a-5475-4e07-b1ee-17c1abeefb4c;si;;
76;7462387a-f060-4385-a277-53d14bfe6bab;si;;
77;10980787-195b-47b6-bcbc-f9f032647bca;si;;
78;27021450-595f-4b31-ac56-cb59ea9d34de;si;;
79;a6d94a7a-fdce-47f4-b587-d245b746f561;si;;
80;a7eb6f66-837c-4399-bc12-91de34780990;si;;
81;a9fd3fc2-59be-4fe5-b33e-f8cd71dc80fb;si;;
82;a70f18e8-f0e3-42fe-b8dc-471627fe2a12;si;;
83;a97d0155-c391-4805-a736-caf5c87f4483;si;;
84;a9114a32-496f-493b-b7ec-25d25e4852e1;si;;
85;ab177086-232f-4055-827e-fa89078cde10;si;;
86;aca53375-016c-4685-88aa-0fb2c87e6682;si;;
87;ae344cd9-ffd5-46f8-aeee-ed8af80e8888;si;;
88;b4c989b9-350b-4972-a8c8-14354ada1002;si;;
89;b45c8c51-6a3f-428b-bbee-d2996d62aec2;si;;
90;b8372294-d7d1-42e1-9c93-310dfad4b2f9;si;;
91;bcb49a3c-8fc0-43b0-a332-4f0a31169048;si;;
92;bd5b7333-7893-4b37-b2b3-a57950c86e74;si;;
93;c76ece35-e720-41bc-a1f8-307c964a05cb;si;;
94;c371b87b-3c3b-4d7a-87cc-018e9405d2d7;si;;
95;c514e0de-d442-499c-a47b-933eef2f3c53;si;;
96;c72254bb-6603-4034-9e49-ad14ce00df4b;si;;
97;cea038b7-4542-4b9b-95ec-31dc696a0948;si;;
98;d3b561a8-ab7e-4d6a-b3f3-329ca9ce8043;si;;
99;d4eda9a8-8388-4eb8-be28-025847739517;si;;
100;d6e5673e-f01c-4f5f-b98d-f1cf5019a905;si;;
101;da7d71fa-0aa2-4217-876f-96b6c96c3df7;si;;
102;df4d881b-c62a-493b-b7f1-a47eaa1c3ee8;si;;
103;e1cc2b95-74d4-402a-a1b6-e89154a90325;si;;
104;e58afa34-1245-44ed-8c98-5fe49e87756a;si;;
105;e943acb1-e48b-4d9b-8cd6-0a24e3ab1bb3;si;;
106;e7592252-32f2-4c89-86db-3eaf7be43a8e;si;;
107;eafc1fa8-004b-4af5-a63b-453ec1b4c3cf;si;;
108;edffc5f4-6600-4fcf-9ae7-3b6fe6aa8ce8;si;;
109;ee4768be-6b34-4650-be30-6b1ccff0353b;si;;
110;eee98100-9d67-4048-add1-4decb9c3190a;si;;
111;ef560192-7085-49b4-81ac-3acd03db11c0;si;;
112;f1e58d82-b7bd-4efc-b6c3-bc58b9c89e3e;si;;
113;f023dc89-0db4-4a89-8c63-6f139050f515;si;;
114;f41d914f-10d7-48f9-8474-9d50216aea91;si;;
115;f453419f-8c70-4d74-a52e-ba6f7c8f5aee;si;;
116;f8525128-b450-4e6e-b73c-d15e0a573fe2;si;;
117;fa7580b8-9bca-421b-b568-c7d4b14518eb;si;;
118;faad235f-0736-461f-b028-07d96a29d82c;si;;
119;fb127329-bf1d-472f-842d-b16071888018;si;;
120;fce9573d-391e-4c8d-91ba-3990f38c9b04;si;;
