doc_id;gt_count;pred_count;tp;fp;fn;precision;recall;f1
00c6243c-3f48-48ed-8ad2-d86d60b24809;15;15;3;12;12;0.2000;0.2000;0.2000
00d05a74-bec1-4834-a0eb-29d75a93a784;14;20;2;18;12;0.1000;0.1429;0.1176
009d2053-4bba-49ef-ae60-5ef67cd43e30;15;21;4;17;11;0.1905;0.2667;0.2222
00218b06-d0d8-4bc9-a2c1-32d20d754334;12;21;2;19;10;0.0952;0.1667;0.1212
009d313d-186b-4023-a396-8e5fabe03d0e;14;14;4;10;10;0.2857;0.2857;0.2857
00930499-2021-4d95-a3f2-3b0053ead40c;10;19;0;19;10;0.0000;0.0000;0.0000
00a85666-62f1-413f-b1d7-16da8833a113;14;18;4;14;10;0.2222;0.2857;0.2500
00876078-5df8-469b-b521-648cac0f9fe7;11;17;2;15;9;0.1176;0.1818;0.1429
0036ca5d-a758-4984-a373-fac31b00ad24;9;13;0;13;9;0.0000;0.0000;0.0000
007bac28-399d-4ea1-9fd9-9e02ed6122ff;11;12;2;10;9;0.1667;0.1818;0.1739
008035bb-e4ad-403e-b695-adb073a1d26b;11;25;2;23;9;0.0800;0.1818;0.1111
00ca4c0f-859c-4891-acdb-0698c2ded3e1;13;19;5;14;8;0.2632;0.3846;0.3125
00db709f-42a2-484e-80bc-d06eab80c07d;11;18;3;15;8;0.1667;0.2727;0.2069
00c61347-746f-4a53-a9a8-a0fc8b66b243;9;18;1;17;8;0.0556;0.1111;0.0741
0065fd71-eb64-4486-82cc-b4c4b6a13a74;8;8;0;8;8;0.0000;0.0000;0.0000
009a50d4-8a4d-4cc5-9964-a66511b8e1df;11;10;4;6;7;0.4000;0.3636;0.3810
003c64ee-b779-4804-8413-6f9312d93f09;7;11;0;11;7;0.0000;0.0000;0.0000
00e189ee-7ed8-4ea2-8b61-a05df4dc7a5b;12;11;5;6;7;0.4545;0.4167;0.4348
00ce2e9e-9757-403c-8dbf-33234b632b9b;10;18;3;15;7;0.1667;0.3000;0.2143
007f0faa-c97f-40ba-9da6-dacbf0871fd6;10;10;3;7;7;0.3000;0.3000;0.3000
00545553-789c-4b16-965a-fa04533adbe3;7;4;1;3;6;0.2500;0.1429;0.1818
00d874a1-ee5e-4e6f-9fe7-4c66681cd7ac;7;11;1;10;6;0.0909;0.1429;0.1111
0081a6c0-e244-4b51-af1a-216d03cfadd3;10;7;4;3;6;0.5714;0.4000;0.4706
00161e17-f9bb-4b7e-aa95-a6e332e1affe;9;15;3;12;6;0.2000;0.3333;0.2500
00a4095d-ee9b-4f32-a2e3-6c098712af6f;8;8;2;6;6;0.2500;0.2500;0.2500
00b811d5-4e1e-4909-a77a-d643dcae9b17;7;8;1;7;6;0.1250;0.1429;0.1333
002bc8a8-ae0f-4973-b3df-909cb5a476fc;8;14;2;12;6;0.1429;0.2500;0.1818
00a023f3-c02b-4590-b138-d9ae57248b0d;7;22;2;20;5;0.0909;0.2857;0.1379
0048cc97-c3e5-462f-b8c9-2acb398fad05;7;17;2;15;5;0.1176;0.2857;0.1667
0041295a-31ac-4d44-818b-ad77ab64e3d9;9;17;4;13;5;0.2353;0.4444;0.3077
007ce0b2-c0fb-41be-855d-be03d7ec6280;5;12;0;12;5;0.0000;0.0000;0.0000
00697f6c-c83d-4ef0-b8bd-c3606ab93df6;5;6;0;6;5;0.0000;0.0000;0.0000
00bd7258-533d-47d5-bcd7-f4d008a106ea;6;10;1;9;5;0.1000;0.1667;0.1250
005f478a-d71e-4f59-920e-94284c89e644;4;5;0;5;4;0.0000;0.0000;0.0000
00039e89-4b9a-4a81-bb08-334cf20b482c;5;10;1;9;4;0.1000;0.2000;0.1333
008ed118-d0b5-4f1d-a2ef-fdaa7be19fe0;5;7;1;6;4;0.1429;0.2000;0.1667
0056164d-35e5-42ed-ae24-ab3fbf2b91fc;8;14;4;10;4;0.2857;0.5000;0.3636
00cde67f-6fb5-4cf9-bef9-380719f69d4f;6;8;3;5;3;0.3750;0.5000;0.4286
007e1ff6-407e-4536-bcc9-6be365de2903;7;17;4;13;3;0.2353;0.5714;0.3333
0034e45c-4904-4f40-acac-950accd493ec;5;6;2;4;3;0.3333;0.4000;0.3636
0066ed9f-17d8-4bbb-894e-010119d9edc5;5;7;2;5;3;0.2857;0.4000;0.3333
00a5d694-46ad-49ba-a2a0-82313738073f;7;10;4;6;3;0.4000;0.5714;0.4706
0092f519-85eb-41bc-9eda-0cc7ed7dcbb0;6;8;3;5;3;0.3750;0.5000;0.4286
007cc328-610a-4a96-8baf-005ffd8be68f;4;3;1;2;3;0.3333;0.2500;0.2857
001f45d6-19f4-4b97-87f7-a85644d37947;7;13;4;9;3;0.3077;0.5714;0.4000
00ddf941-2d74-41a6-b6f1-96ae765c2bfc;6;7;4;3;2;0.5714;0.6667;0.6154
00eba044-6fff-4e32-8222-36f9003f5bba;3;3;2;1;1;0.6667;0.6667;0.6667
00a1a66e-094d-48bb-85b0-5fabb0cbdb2e;3;2;2;0;1;1.0000;0.6667;0.8000
00111c95-4102-441d-b21c-e1fb68a0fdb1;3;5;2;3;1;0.4000;0.6667;0.5000
00b2baed-d24c-446a-a363-13d4aa8a1d2c;4;3;3;0;1;1.0000;0.7500;0.8571
