chunk_size,overlap,label,precision,recall,f1,tp,fp,fn,support
128,0,FAMILIARES_SUJETO_ASISTENCIA,0.0,0.0,0.0,0,4,0,0
128,0,FECHAS,0.0,0.0,0.0,0,2,0,0
128,0,ID_SUJETO_ASISTENCIA,0.0,0.0,0.0,0,1,0,0
128,0,MASKED,0.0,0.0,0.0,0,0,134,134
128,32,FAMILIARES_SUJETO_ASISTENCIA,0.0,0.0,0.0,0,4,0,0
128,32,FECHAS,0.0,0.0,0.0,0,6,0,0
128,32,ID_SUJETO_ASISTENCIA,0.0,0.0,0.0,0,1,0,0
128,32,MASKED,0.0,0.0,0.0,0,0,134,134
256,0,FAMILIARES_SUJETO_ASISTENCIA,0.0,0.0,0.0,0,4,0,0
256,0,FECHAS,0.0,0.0,0.0,0,2,0,0
256,0,MASKED,0.0,0.0,0.0,0,0,134,134
256,0,NOMBRE_SUJETO_ASISTENCIA,0.0,0.0,0.0,0,1,0,0
256,32,FAMILIARES_SUJETO_ASISTENCIA,0.0,0.0,0.0,0,4,0,0
256,32,FECHAS,0.0,0.0,0.0,0,3,0,0
256,32,MASKED,0.0,0.0,0.0,0,0,134,134
