doc_id,chunk_size,overlap,gold_count,pred_count,tp,fp,fn,precision,recall,f1
NHC102219_episodio1008744732.txt,128,64,66,120,54,66,12,0.45,0.8181818181818182,0.5806451612903226
NHC103087_episodio1008807132.txt,128,64,19,37,19,18,0,0.5135135135135135,1.0,0.6785714285714285
NHC103087_episodio1008807712.txt,128,64,51,105,46,59,5,0.4380952380952381,0.9019607843137255,0.5897435897435896
NHC103618_episodio1008373350.txt,128,64,63,124,53,71,10,0.4274193548387097,0.8412698412698413,0.5668449197860963
NHC103618_episodio1008373887.txt,128,64,6,9,5,4,1,0.5555555555555556,0.8333333333333334,0.6666666666666667
NHC104109_episodio1008287424.txt,128,64,60,131,55,76,5,0.4198473282442748,0.9166666666666666,0.5759162303664921
NHC106104_episodio1008739218.txt,128,64,2,3,2,1,0,0.6666666666666666,1.0,0.8
NHC106104_episodio1008741129.txt,128,64,29,60,26,34,3,0.43333333333333335,0.896551724137931,0.5842696629213484
NHC107102_episodio1008411058.txt,128,64,22,42,20,22,2,0.47619047619047616,0.9090909090909091,0.6249999999999999
NHC107102_episodio1008411916.txt,128,64,97,228,96,132,1,0.42105263157894735,0.9896907216494846,0.5907692307692307
NHC108175_episodio1008821007.txt,128,64,62,162,56,106,6,0.345679012345679,0.9032258064516129,0.5
NHC108981_episodio1008265273.txt,128,64,12,26,11,15,1,0.4230769230769231,0.9166666666666666,0.5789473684210527
NHC108981_episodio1008265564.txt,128,64,1,1,1,0,0,1.0,1.0,1.0
NHC109003_episodio1008474128.txt,128,64,70,151,66,85,4,0.4370860927152318,0.9428571428571428,0.5972850678733032
NHC109629_episodio1008259249.txt,128,64,6,8,5,3,1,0.625,0.8333333333333334,0.7142857142857143
