doc_id,chunk_size,overlap,gold_count,pred_count,tp,fp,fn,precision,recall,f1
NHC102219_episodio1008744732.txt,128,0,66,61,54,7,12,0.8852459016393442,0.8181818181818182,0.8503937007874016
NHC103087_episodio1008807132.txt,128,0,19,19,19,0,0,1.0,1.0,1.0
NHC103087_episodio1008807712.txt,128,0,51,55,45,10,6,0.8181818181818182,0.8823529411764706,0.8490566037735848
NHC103618_episodio1008373350.txt,128,0,63,60,52,8,11,0.8666666666666667,0.8253968253968254,0.8455284552845528
NHC103618_episodio1008373887.txt,128,0,6,5,5,0,1,1.0,0.8333333333333334,0.9090909090909091
NHC104109_episodio1008287424.txt,128,0,60,65,53,12,7,0.8153846153846154,0.8833333333333333,0.848
NHC106104_episodio1008739218.txt,128,0,2,2,2,0,0,1.0,1.0,1.0
NHC106104_episodio1008741129.txt,128,0,29,31,26,5,3,0.8387096774193549,0.896551724137931,0.8666666666666666
NHC107102_episodio1008411058.txt,128,0,22,21,19,2,3,0.9047619047619048,0.8636363636363636,0.8837209302325582
NHC107102_episodio1008411916.txt,128,0,97,112,92,20,5,0.8214285714285714,0.9484536082474226,0.8803827751196172
NHC108175_episodio1008821007.txt,128,0,62,80,55,25,7,0.6875,0.8870967741935484,0.7746478873239436
NHC108981_episodio1008265273.txt,128,0,12,13,11,2,1,0.8461538461538461,0.9166666666666666,0.8799999999999999
NHC108981_episodio1008265564.txt,128,0,1,1,1,0,0,1.0,1.0,1.0
NHC109003_episodio1008474128.txt,128,0,70,76,66,10,4,0.868421052631579,0.9428571428571428,0.904109589041096
NHC109629_episodio1008259249.txt,128,0,6,5,5,0,1,1.0,0.8333333333333334,0.9090909090909091
